,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2021,Apr,SA,"20,126","9,281","1,470","1,045","1,056","4,072","3,128",534,539,395
2021,Apr,WA,"18,016","11,674",537,"2,052",346,"3,349","4,163",182,"1,081",165
2021,Apr,TAS,"4,582","6,090",142,112,59,767,"2,180",46,80,31
2021,Apr,NT,"1,795","1,713",75,65,25,304,611,16,41,21
2021,Apr,ACT,"9,540","3,520",200,122,95,"2,221","1,225",28,67,41
2021,Apr Total,,"319,684","206,168","12,716","26,136","10,281","61,630","60,330","3,029","13,042","3,999"
2021,May,NSW,"122,110","84,310","2,995","11,512","5,024","25,001","25,987",974,"6,583","1,801"
2021,May,VIC,"103,840","68,607","4,582","8,234","2,910","19,623","22,339",368,"4,048","1,291"
2021,May,QLD,"42,308","30,101","2,725","5,261",949,"8,926","9,825",891,"2,870",437
2021,May,SA,"20,397","9,818","1,470","1,110","1,056","4,343","3,665",534,604,395
2021,May,WA,"18,151","12,157",539,"2,223",346,"3,484","4,646",184,"1,252",165
2021,May,TAS,"4,593","6,587",142,129,59,778,"2,677",46,97,31
2021,May,NT,"1,830","1,786",75,74,25,339,684,16,50,21
2021,May,ACT,"9,574","3,739",200,141,96,"2,255","1,444",28,86,42
2021,May Total,,"322,803","217,105","12,728","28,684","10,465","64,749","71,267","3,041","15,590","4,183"
2021,Jun,NSW,"122,562","85,358","2,995","12,402","5,189","25,453","27,035",974,"7,473","1,966"
2021,Jun,VIC,"104,604","70,825","4,586","8,546","3,052","20,387","24,557",372,"4,360","1,433"
2021,Jun,QLD,"42,634","31,205","2,725","5,539","1,026","9,252","10,929",891,"3,148",514
2021,Jun,SA,"20,487","10,237","1,470","1,161","1,061","4,433","4,084",534,655,400
2021,Jun,WA,"18,324","12,485",540,"2,326",347,"3,657","4,974",185,"1,355",166
2021,Jun,TAS,"4,608","6,881",142,132,59,793,"2,971",46,100,31
2021,Jun,NT,"1,830","1,804",75,78,25,339,702,16,54,21
2021,Jun,ACT,"9,631","3,859",201,147,99,"2,312","1,564",29,92,45
2021,Jun Total,,"324,680","222,654","12,734","30,331","10,858","66,626","76,816","3,047","17,237","4,576"
2021,Jul,NSW,"126,533","93,027","3,042","13,117","5,751","29,424","34,704","1,021","8,188","2,528"
2021,Jul,VIC,"112,786","76,432","4,689","9,153","3,284","28,569","30,164",475,"4,967","1,665"
2021,Jul,QLD,"47,092","33,630","2,775","5,809","1,040","13,710","13,354",941,"3,418",528
2021,Jul,SA,"22,003","11,113","1,535","1,233","1,130","5,949","4,960",599,727,469
